titles,category
러 돈바스 요충지 세베로도네츠크 무차별 폭격함락 위기,World
쉽지 않다 발언 일주일 만에리커창 년보다 어렵다,World
병합작업 시작우크라 점령지역서 여권시민권 쥐어주는 러시아,World
이재용 만나고 다보스 간  상무장관 반도체 미국서 만들어야,World
 관영  미사일 발사 두둔 한반도 긴장 고조 시킨 결과,World
푸틴 신임 비상사태부 장관에 전 경호원 지명얼굴 없는 남성,World
우크라 키신저 영토 포기 제안 절대 불가유럽 내 논란 확산,World
대폭락 사태 테라 으로 부활이르면 일부터 가동,World
러 제재 풀면 우크라 곡물 수출길 열어줄 것,World
권도형 테라 발행에 회의적인 해외 전문가들신뢰 회복 어렵다,World
미국 총기 대 고질병세계 최다소지대규모 사망개혁불능,World
옛날같지 않네글로벌 자동차  전기차 시장서 밀려나,World
영토양보론에 분노한 젤렌스키 년 히틀러 달랠때나 나오던 제안,World
다보스서 세계 식량 위기 잇단 우려년까지 지속될 수도,World
토하고 벽엔 와인칠총리실 봉쇄령때 툭하면 새벽 술판,World
지구촌 돋보기 월인데 벌써 도사상 최악의 폭염 지구촌 강타,World
 러 채무상환 유예기간 종료러시아 디폴트 임박,World
베이징대 이어 사범대에서도 집에 가게 해달라 수백명 시위,World
한국 이야기의 힘세계가 놀랐다,World
코로나 백신 롱 코비드 증상 예방 효과 그닥 없다연구,World
아이폰 프로 올가을 퍼플로 돌아온다,World
유엔안보리 일 추가 대북 제재 표결중러는 반대 시사종합,World
양자컴퓨팅의 중심  왓슨연구소를 가다,World
  안보리 수일 내 추가 대북제재안 표결중러 거부권 행사 우려,World
 화이자 원숭이 두창 큰 걱정 아니야팬데믹과 달라,World
미국 경제가 바나나에깊어지는 경기침체 논란영상,World
최대 가맹점과 계약 갱신 없다러시아 떠나는 나이키,World
살이에요  네팔 소년 기네스북 등재,World
영상 젤렌스키 일부 유럽 영토 양보 종용주권 영토 도 거래 없다 나우어스,World
가성비 떨어지는 제재 보다 실효성 높은 가지 북핵 해법,World
안보리 추가 대북제재안 일 표결중러 거부권 행사할듯종합보,World
세베로도네츠크 제 마리우폴 위기지구서 없애려는듯 폭격종합,World
팬데믹우크라이나 전쟁으로 부의 불평등 심화,World
인플레 압박에 민심 달래기 나선 푸틴최저임금연금  인상,World
팔레스타인 동예루살렘의 이스라엘 국기행진 취소 요구,World
인플레 강조한 연준 두번 더 빅스텝 간다 금리인상 시사,World
우크라  혁명적 결정하지만나토는 아무것도 안해,World
 연준 번 더  인상중립금리 이상 인상 시사,World
스웨덴핀란드 만난 터키 나토 가입 긍정 신호돌파구는 없어종합보,World
러 우크라 돈바스 점령 위해 총공세인도적 지원민간인 대피로 차단될 수도,World
푸틴 우크라 점령지에 러 시민권 발급 신속법안 서명,World
중동 모래폭풍 탓 연간 조원 손실더 심해지는 추세,World
원숭이두창 전세계 확산하는데대 이상은 안전하다 근거는,World
푸틴 몰아내자러 내부서 후계자 찾기 시작,World
세계은행 경고 우크라 전쟁 전 세계 불황 방아쇠 될 수도,World
푸틴 우크라전서 부상 입은 러시아군 위문 그들은 모두 영웅 뉴시스,World
 권도형 테라 추진하지만 시장 신뢰회복 힘들 것,World
군사대국화 선언한 독일 우크라 방공전차 약속했으나 포탄 부족으로 지연,World
오늘아침세계는 러시아군 동부 요충지 세베로도네츠크 외곽까지 진격,World
러 돈바스 요충지 세베로도네츠크 외곽까지 진격,World
권도형 새 루나 나온다기존 보유자에게 새 루나 토큰 나눠줄 것,World
러시아 우크라이나 동부 루한스크 포위 치열한 공방전,World
경제 잘 돌아가연금 최저 임금 모두  올려라 푸틴 통큰 결단,World
코로나 봉쇄 중 술 마시고 토하고  파티게이트 보고서 공개,World
잘나가던 엔비디아 분기 실적 악화 전망에 주가  급락,World
지금이 세기냐 우크라 키신저의 영토 양보 제안 거부,World
맥도날드스타벅스 이어 나이키도기업들 줄줄이 탈 러시아,World
미 전략적 인내 회귀하나인도적 지원은 불변,World
러 점령지 마리우폴에 여권 발급 시작사실상 합병,World
미국 수일 내 안보리 추가 대북 제재안 표결 추진중러 거부권 행사 가능성,World
 남태평양으로 세력 확대 도모 조급성급한 협상 우려종합,World
